200001,2
200011,1
200017,3
200018,1
200019,4
200020,1
200021,2
200022,8
200023,4
200025,2
200026,1
200028,3
200030,3
200031,1
200032,1
200034,1
200036,4
200037,6
200038,1
200040,2
200041,1
200043,1
200044,1
200045,13
200048,1
200049,1
200050,2
200051,1
200053,6
200101,6
200102,6
200103,2
200104,5
200106,1
200108,8
200109,13
200110,6
200113,4
200115,1
200117,3
200118,2
200121,2
200122,2
200123,15
200130,5
200131,3
200132,9
200133,4
200134,3
200139,13
200143,2
200144,1
200145,9
200146,5
200147,3
200148,7
200149,4
200150,1
200152,7
200201,13
200202,2
200203,18
200204,12
200205,3
200206,9
200207,8
200208,1
200209,1
200210,7
200211,19
200213,16
200214,4
200215,5
200216,7
200217,45
200218,23
200219,12
200220,38
200221,3
200222,7
200223,1
200224,18
200225,20
200226,12
200227,14
200228,16
200229,10
200230,15
200231,2
200232,10
200233,35
200234,6
200235,35
200236,1
200237,3
200238,2
200239,4
200240,1
200241,23
200242,13
200243,11
200244,7
200245,4
200246,9
200247,8
200248,4
200249,1
200250,13
200252,3
200301,1
200302,10
200303,3
200304,3
200305,9
200306,4
200307,16
200308,4
200309,5
200310,19
200311,9
200312,1
200313,44
200314,2
200315,3
200316,1
200318,8
200319,8
200320,3
200321,13
200322,29
200323,18
200324,3
200325,2
200326,7
200327,6
200328,2
200329,1
200330,4
200331,5
200332,5
200333,5
200334,7
200335,1
200336,7
200337,26
200338,7
200339,3
200340,2
200341,2
200342,4
200343,1
200344,3
200345,6
200346,11
200347,2
200348,10
200349,5
200350,8
200351,4
200352,1
200401,6
200402,6
200403,4
200404,6
200405,7
200406,5
200407,7
200408,9
200409,7
200410,7
200411,1
200412,1
200413,2
200414,10
200415,2
200416,1
200417,2
200418,2
200419,12
200420,11
200421,14
200422,7
200423,3
200425,5
200426,2
200427,5
200428,14
200429,4
200430,4
200431,5
200432,3
200433,1
200434,3
200435,15
200436,2
200437,2
200438,3
200439,29
200440,7
200441,4
200442,6
200443,1
200446,2
200447,1
200448,14
200449,3
200450,4
200451,3
200501,1
200502,1
200503,1
200504,2
200505,6
200506,4
200507,12
200508,5
200509,2
200510,1
200511,2
200512,1
200513,2
200514,4
200515,2
200516,6
200517,3
200518,2
200519,4
200520,3
200521,6
200522,5
200523,4
200524,3
200525,7
200526,5
200527,6
200528,37
200529,9
200530,14
200531,9
200532,3
200533,9
200534,7
200535,10
200536,6
200537,8
200538,3
200539,2
200540,11
200541,5
200542,4
200543,3
200544,1
200545,5
200546,3
200548,7
200549,2
200550,4
200551,8
200552,8
200601,5
200602,3
200603,1
200604,1
200605,2
200606,5
200607,2
200608,2
200609,3
200610,2
200611,4
200612,4
200613,4
200614,3
200615,2
200616,2
200617,4
200618,1
200619,2
200622,2
200623,2
200624,1
200625,3
200626,1
200628,5
200630,1
200631,5
200632,2
200636,1
200637,4
200639,3
200640,1
200641,3
200642,8
200643,1
200644,1
200645,1
200647,4
200648,3
200650,2
200651,1
200652,1
200653,2
200701,1
200702,2
200703,2
200707,1
200710,1
200711,2
200713,3
200714,2
200715,3
200716,2
200717,1
200720,3
200721,1
200724,1
200725,1
200726,1
200730,2
200731,1
200732,2
200734,1
200735,2
200737,1
200738,4
200739,2
200740,1
200744,1
200746,1
200749,1
200750,1
200751,1
200802,3
200804,6
200805,2
200806,4
200807,2
200808,1
200810,4
200811,3
200814,2
200815,2
200816,15
200817,8
200818,4
200820,2
200822,2
200823,16
200824,2
200825,3
200828,2
200833,8
200834,1
